::1 - - [31/Mar/2014:09:25:07 -0400] "GET / HTTP/1.1" 200 3899
::1 - - [31/Mar/2014:09:25:09 -0400] "GET /index.php HTTP/1.1" 200 3899
::1 - - [31/Mar/2014:09:25:11 -0400] "GET /index.php?logout HTTP/1.1" 200 3121
::1 - - [31/Mar/2014:09:25:20 -0400] "GET /index.php?logout HTTP/1.1" 200 3121
::1 - - [31/Mar/2014:09:27:00 -0400] "GET /index.php?logout HTTP/1.1" 200 3121
::1 - - [31/Mar/2014:09:27:00 -0400] "GET /css/projectsite_master.css HTTP/1.1" 200 2050
::1 - - [31/Mar/2014:09:27:00 -0400] "GET /css/bootstrap.css HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:27:00 -0400] "GET /images/site_title.png HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:27:00 -0400] "GET /images/header.jpg HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:27:00 -0400] "GET /images/footer.jpg HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:27:53 -0400] "GET /index.php?logout HTTP/1.1" 200 3121
::1 - - [31/Mar/2014:09:27:54 -0400] "GET /css/projectsite_master.css HTTP/1.1" 200 2052
::1 - - [31/Mar/2014:09:27:54 -0400] "GET /css/bootstrap.css HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:27:54 -0400] "GET /images/header.jpg HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:27:54 -0400] "GET /images/footer.jpg HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:29:33 -0400] "GET /index.php?logout HTTP/1.1" 200 3013
::1 - - [31/Mar/2014:09:29:34 -0400] "GET /css/projectsite_master.css HTTP/1.1" 200 2053
::1 - - [31/Mar/2014:09:29:34 -0400] "GET /css/bootstrap.css HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:29:34 -0400] "GET /images/header.jpg HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:29:34 -0400] "GET /images/footer.jpg HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:29:50 -0400] "GET /index.php?logout HTTP/1.1" 200 3013
::1 - - [31/Mar/2014:09:29:51 -0400] "GET /css/projectsite_master.css HTTP/1.1" 200 2057
::1 - - [31/Mar/2014:09:29:51 -0400] "GET /css/bootstrap.css HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:29:51 -0400] "GET /images/footer.jpg HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:29:51 -0400] "GET /images/header.jpg HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:30:10 -0400] "GET /index.php?logout HTTP/1.1" 200 3013
::1 - - [31/Mar/2014:09:30:10 -0400] "GET /css/projectsite_master.css HTTP/1.1" 200 2058
::1 - - [31/Mar/2014:09:30:10 -0400] "GET /css/bootstrap.css HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:30:10 -0400] "GET /images/header.jpg HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:30:10 -0400] "GET /images/footer.jpg HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:31:12 -0400] "GET /index.php?logout HTTP/1.1" 200 3013
::1 - - [31/Mar/2014:09:31:12 -0400] "GET /css/projectsite_master.css HTTP/1.1" 200 2062
::1 - - [31/Mar/2014:09:31:12 -0400] "GET /css/bootstrap.css HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:31:12 -0400] "GET /images/header.jpg HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:31:12 -0400] "GET /images/footer.jpg HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:31:19 -0400] "GET /index.php?logout HTTP/1.1" 200 3013
::1 - - [31/Mar/2014:09:31:20 -0400] "GET /css/projectsite_master.css HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:31:20 -0400] "GET /css/bootstrap.css HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:31:45 -0400] "GET /index.php?logout HTTP/1.1" 200 3013
::1 - - [31/Mar/2014:09:31:45 -0400] "GET /css/projectsite_master.css HTTP/1.1" 200 2060
::1 - - [31/Mar/2014:09:31:45 -0400] "GET /css/bootstrap.css HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:31:45 -0400] "GET /images/header.jpg HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:31:45 -0400] "GET /images/footer.jpg HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:32:08 -0400] "GET /index.php?logout HTTP/1.1" 200 3013
::1 - - [31/Mar/2014:09:32:08 -0400] "GET /css/projectsite_master.css HTTP/1.1" 200 2059
::1 - - [31/Mar/2014:09:32:08 -0400] "GET /css/bootstrap.css HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:32:08 -0400] "GET /images/header.jpg HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:32:08 -0400] "GET /images/footer.jpg HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:32:24 -0400] "GET /index.php?logout HTTP/1.1" 200 3013
::1 - - [31/Mar/2014:09:32:25 -0400] "GET /css/projectsite_master.css HTTP/1.1" 200 2060
::1 - - [31/Mar/2014:09:32:25 -0400] "GET /css/bootstrap.css HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:32:25 -0400] "GET /images/header.jpg HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:32:25 -0400] "GET /images/footer.jpg HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:32:32 -0400] "GET /index.php?logout HTTP/1.1" 200 3013
::1 - - [31/Mar/2014:09:32:33 -0400] "GET /css/projectsite_master.css HTTP/1.1" 200 2061
::1 - - [31/Mar/2014:09:32:33 -0400] "GET /css/bootstrap.css HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:32:33 -0400] "GET /images/header.jpg HTTP/1.1" 304 -
::1 - - [31/Mar/2014:09:32:33 -0400] "GET /images/footer.jpg HTTP/1.1" 304 -
